Sample	SRA	Isolate	Insects	Inoc
S1	SRR13624035	BLNK	Gmellonella	BLNK
S2	SRR13624036	BLNK	Gmellonella	BLNK
S3	SRR13624037	BLNK	Gmellonella	BLNK
S4	SRR13624038	BLNK	Gmellonella	BLNK
S5	SRR13624039	BLNK	Gmellonella	BLNK
S6	SRR13624040	BLNK	Gmellonella	BLNK
S7	SRR13624041	BLNK	Gmellonella	BLNK
S8	SRR13624042	PS	Gmellonella	Plastic
S9	SRR13624043	PS	Gmellonella	Plastic
S10	SRR13624044	PS	Gmellonella	Plastic
S11	SRR13624045	PS	Gmellonella	Plastic
S12	SRR13624046	BLNK	Gmellonella	BLNK
S13	SRR13624047	PS	Gmellonella	Plastic
S14	SRR13624048	PS	Gmellonella	Plastic
S15	SRR13624049	PS	Gmellonella	Plastic
S16	SRR13624050	PS	Gmellonella	Plastic
S17	SRR13624051	PS	Gmellonella	Plastic
S18	SRR13624052	PS	Gmellonella	Plastic
S19	SRR13624053	PS	Gmellonella	Plastic
S20	SRR13624054	PS	Gmellonella	Plastic
S21	SRR13624055	BLNK	Gmellonella	BLNK
S22	SRR13624056	BLNK	Gmellonella	BLNK
S23	SRR13624057	BLNK	Gmellonella	BLNK
S24	SRR13624058	BLNK	Gmellonella	BLNK
S25	SRR13291605	PS	Tmolitor	Plastic
S26	SRR13291606	BLNK	Tmolitor	BLNK
S27	SRR13291607	BLNK	Tmolitor	BLNK
S28	SRR13291608	BLNK	Tmolitor	BLNK
S29	SRR13291609	BLNK	Tmolitor	BLNK
S30	SRR13291610	BLNK	Tmolitor	BLNK
S31	SRR13291611	BLNK	Tmolitor	BLNK
S32	SRR13291612	BLNK	Tmolitor	BLNK
S33	SRR13291613	PS	Tmolitor	Plastic
S34	SRR13291614	PS	Tmolitor	Plastic
S35	SRR13291615	PS	Tmolitor	Plastic
S36	SRR13291616	PS	Tmolitor	Plastic
S37	SRR13291617	PS	Tmolitor	Plastic
S38	SRR13291618	PS	Tmolitor	Plastic
S39	SRR13291619	PS	Tmolitor	Plastic
S40	SRR13291620	PS	Tmolitor	Plastic
S41	SRR13291621	BLNK	Tmolitor	BLNK
S42	SRR13291622	BLNK	Tmolitor	BLNK
S43	SRR13319705	PE	Tmolitor	Plastic
S44	SRR13319706	PE	Tmolitor	Plastic
S45	SRR13319707	PE	Tmolitor	Plastic
S46	SRR13319708	PE	Tmolitor	Plastic
S47	SRR13319709	PE	Tmolitor	Plastic
S48	SRR13319710	PE	Tmolitor	Plastic
S49	SRR13319711	PE	Tmolitor	Plastic
S50	SRR13319712	PS	Tmolitor	Plastic
S51	SRR13319713	PE	Tmolitor	Plastic
S52	SRR13319714	PS	Tmolitor	Plastic
S53	SRR13319715	PS	Tmolitor	Plastic
S54	SRR15714991	BLNK	Gmellonella	BLNK
S55	SRR15714993	PS	Gmellonella	Plastic
S56	SRR15714995	PE	Gmellonella	Plastic
S57	SRR15714996	BLNK	Gmellonella	BLNK
S58	SRR15714998	PS	Gmellonella	Plastic
S59	SRR15715001	PS	Gmellonella	Plastic
S60	SRR15715003	PE	Gmellonella	Plastic
S61	SRR15715004	BLNK	Gmellonella	BLNK
S62	SRR15715006	PS	Gmellonella	Plastic
S63	SRR15715008	PE	Gmellonella	Plastic
S64	SRR15715009	PE	Gmellonella	Plastic
S65	SRR15715010	BLNK	Gmellonella	BLNK
